Subject	AgeMonth	Site
000195	17	MN
107842	19	MN
116056	24	MN
116056	3	MN
116056	6	MN
116056	9	MN
116845	3	MN
116845	6	MN
116845	9	MN
124529	25	MN
125632	13	MN
125632	24	MN
125632	4	MN
125632	7	MN
138813	4	MN
138813	9	MN
176427	11	MN
176427	24	MN
176427	5	MN
185373	20	MN
185373	26	MN
198202	11	MN
198202	24	MN
198202	5	MN
198202	8	MN
198549	13	MN
199865	12	MN
199865	15	MN
199865	9	MN
204659	10	MN
204659	13	MN
204659	16	MN
210587	34	MN
222881	24	MN
222881	5	MN
223008	24	MN
223008	7	MN
229768	24	MN
229768	5	MN
229768	8	MN
231205	24	MN
231205	7	MN
232633	36	MN
234130	19	MN
240615	16	MN
243511	10	MN
243511	13	MN
243511	24	MN
243511	5	MN
243511	8	MN
251549	16	MN
261266	17	MN
266437	18	MN
272097	5	MN
272097	8	MN
277066	10	MN
277066	13	MN
277066	24	MN
277066	7	MN
277762	12	MN
277762	15	MN
277762	24	MN
277762	6	MN
277762	9	MN
282791	19	MN
284149	15	MN
295081	5	MN
309615	18	MN
315519	11	MN
318409	9	MN
320544	24	MN
320544	4	MN
320544	7	MN
334324	12	MN
334324	24	MN
334324	3	MN
334324	6	MN
334324	9	MN
372377	14	MN
372377	2	MN
372377	5	MN
372377	8	MN
380056	4	MN
380510	19	MN
381606	11	MN
381606	5	MN
381606	8	MN
387247	9	MN
401592	12	MN
401592	15	MN
406768	12	MN
406768	3	MN
406768	6	MN
406768	9	MN
425428	6	MN
439037	15	MN
439083	13	MN
439083	1	MN
439083	4	MN
439083	7	MN
439999	11	MN
439999	14	MN
439999	17	MN
439999	20	MN
455675	15	MN
455675	24	MN
455675	6	MN
458050	19	MN
458050	6	MN
469090	18	MN
469090	3	MN
469090	9	MN
469822	25	MN
469900	14	MN
469900	24	MN
469900	5	MN
469900	8	MN
470431	15	MN
470431	24	MN
470431	6	MN
470431	9	MN
477045	10	MN
477045	16	MN
477045	19	MN
477275	10	MN
505499	24	MN
505926	11	MN
505926	14	MN
505926	5	MN
505926	8	MN
514306	4	MN
518969	24	MN
519250	16	MN
519250	22	MN
522061	3	MN
522586	14	MN
526810	60	MN
534927	3	MN
536876	16	MN
536876	22	MN
537180	10	MN
544404	9	MN
552990	12	MN
552990	14	MN
552990	5	MN
552990	8	MN
557806	6	MN
569511	15	MN
583494	26	MN
590275	15	MN
597306	7	MN
601017	26	MN
617942	19	MN
621289	15	MN
621289	6	MN
621289	9	MN
629130	11	MN
629130	14	MN
629130	17	MN
629130	20	MN
629130	26	MN
633038	12	MN
637299	11	MN
648669	12	MN
648669	15	MN
648669	9	MN
649494	3	MN
657158	13	MN
657158	7	MN
661045	18	MN
661045	24	MN
662338	6	MN
675362	18	MN
682023	4	MN
683099	12	MN
684448	11	MN
684448	5	MN
684448	8	MN
705639	9	MN
706050	20	MN
706050	26	MN
706655	9	MN
710922	1	MN
716498	12	MN
716498	15	MN
726893	11	MN
726893	14	MN
726893	5	MN
726893	8	MN
755330	13	MN
755330	4	MN
758451	5	MN
759162	17	MN
760812	7	MN
764612	16	MN
779253	10	MN
779253	13	MN
786266	24	MN
786266	4	MN
794032	24	MN
794626	11	MN
794626	13	MN
794626	24	MN
794626	4	MN
801091	24	MN
801091	3	MN
805063	13	MN
805063	24	MN
805063	4	MN
810675	6	MN
826398	12	MN
830201	15	MN
838827	13	MN
838827	7	MN
839327	15	MN
850013	15	MN
850013	24	MN
850013	5	MN
850013	8	MN
851956	23	MN
863856	22	MN
865762	20	MN
879509	3	MN
879509	6	MN
879509	9	MN
887679	1	MN
888211	6	MN
888211	9	MN
890518	11	MN
890518	5	MN
890518	8	MN
907184	22	MN
907184	28	MN
907729	11	MN
907729	14	MN
908191	16	MN
908191	28	MN
914176	16	MN
927564	7	MN
927564	9	MN
932286	24	MN
933910	15	MN
933910	18	MN
933910	24	MN
933910	9	MN
938316	5	MN
938316	8	MN
939785	12	MN
939785	24	MN
939785	3	MN
940808	24	MN
943541	4	MN
945323	18	MN
947206	9	MN
951984	12	MN
951984	24	MN
951984	9	MN
960370	10	MN
960370	13	MN
960370	4	MN
960370	7	MN
978698	14	MN
981664	8	MN
981854	10	MN
981854	14	MN
981854	4	MN
981854	7	MN
985303	15	MN
986114	5	MN
987008	24	MN
987008	8	MN
994816	14	MN
995663	11	MN
995663	14	MN
995663	5	MN
995663	8	MN
011228	12	NC
011228	18	NC
011228	9	NC
036831	23	NC
051407	12	NC
052977	11	NC
052977	17	NC
062519	12	NC
106436	0.5	NC
107008	6	NC
111521	17	NC
111521	29	NC
132476	12	NC
146505	21	NC
149292	47	NC
155416	20	NC
157075	17	NC
157075	26	NC
157075	31	NC
161437	11	NC
161437	18	NC
189896	14	NC
189896	26	NC
197622	10	NC
197622	14	NC
197622	18	NC
200474	21	NC
200474	24	NC
216852	5	NC
223244	11	NC
223244	21	NC
223244	2	NC
223244	6	NC
223244	8	NC
244734	0.5	NC
266394	15	NC
266394	28	NC
283899	24	NC
294064	34	NC
314462	9	NC
332726	60	NC
340476	10	NC
340476	16	NC
340476	34	NC
340751	52	NC
382287	12	NC
382287	0.5	NC
382287	6	NC
385434	23	NC
388560	0.5	NC
397725	60	NC
412584	10	NC
418009	53	NC
418009	65	NC
418793	15	NC
418793	18	NC
418793	21	NC
421109	9	NC
433089	15	NC
439967	55	NC
456907	12	NC
456907	15	NC
456907	6	NC
456907	9	NC
493610	19	NC
505525	11	NC
505525	17	NC
505525	23	NC
505525	8	NC
509659	13	NC
510127	18	NC
518139	12	NC
518139	15	NC
518139	21	NC
518139	24	NC
523054	11	NC
530066	16	NC
530066	19	NC
530066	22	NC
537715	49	NC
564264	20	NC
605985	3	NC
607764	33	NC
627915	15	NC
648807	21	NC
683402	22	NC
683764	23	NC
713347	14	NC
752735	48	NC
758603	22	NC
758603	43	NC
764726	26	NC
772313	47	NC
774387	16	NC
774387	24	NC
777598	25	NC
779604	0.5	NC
791621	55	NC
793775	3	NC
841279	23	NC
841279	29	NC
868724	12	NC
868724	14	NC
868724	26	NC
868724	32	NC
912823	26	NC
931085	9	NC
931594	52	NC
946858	19	NC
960758	12	NC
960758	17	NC
960758	23	NC
