Subject	AgeMonth	Site
116056	24	MN
116056	3	MN
116056	6	MN
116056	9	MN
124529	25	MN
125632	13	MN
125632	24	MN
125632	4	MN
125632	7	MN
138813	4	MN
138813	9	MN
185373	20	MN
185373	26	MN
198202	11	MN
198202	24	MN
198202	5	MN
198202	8	MN
198549	13	MN
199865	12	MN
199865	15	MN
199865	9	MN
210587	34	MN
223008	24	MN
223008	7	MN
231205	24	MN
231205	7	MN
232633	36	MN
261266	17	MN
277762	12	MN
277762	15	MN
277762	24	MN
277762	6	MN
277762	9	MN
282791	19	MN
309615	18	MN
315519	11	MN
320544	24	MN
320544	4	MN
320544	7	MN
334324	12	MN
334324	24	MN
334324	3	MN
334324	6	MN
334324	9	MN
372377	14	MN
372377	2	MN
372377	5	MN
372377	8	MN
380056	4	MN
381606	11	MN
381606	5	MN
381606	8	MN
387247	9	MN
401592	12	MN
401592	15	MN
439037	15	MN
455675	15	MN
455675	24	MN
455675	6	MN
458050	19	MN
458050	6	MN
469090	18	MN
469090	3	MN
469090	9	MN
469822	25	MN
469900	14	MN
469900	24	MN
469900	5	MN
469900	8	MN
477045	10	MN
477045	16	MN
477045	19	MN
477275	10	MN
505926	11	MN
505926	14	MN
505926	5	MN
505926	8	MN
514306	4	MN
519250	16	MN
519250	22	MN
522586	14	MN
544404	9	MN
552990	12	MN
552990	14	MN
552990	5	MN
552990	8	MN
583494	26	MN
601017	26	MN
633038	12	MN
637299	11	MN
648669	12	MN
648669	15	MN
648669	9	MN
649494	3	MN
661045	18	MN
661045	24	MN
675362	18	MN
705639	9	MN
706050	20	MN
706050	26	MN
710922	1	MN
758451	5	MN
759162	17	MN
760812	7	MN
794032	24	MN
805063	13	MN
805063	24	MN
805063	4	MN
810675	6	MN
826398	12	MN
830201	15	MN
838827	13	MN
838827	7	MN
839327	15	MN
851956	23	MN
865762	20	MN
887679	1	MN
888211	6	MN
888211	9	MN
907184	22	MN
907184	28	MN
908191	16	MN
908191	28	MN
943541	4	MN
947206	9	MN
951984	12	MN
951984	24	MN
951984	9	MN
960370	10	MN
960370	13	MN
960370	4	MN
960370	7	MN
981664	8	MN
981854	10	MN
981854	14	MN
981854	4	MN
981854	7	MN
985303	15	MN
986114	5	MN
987008	24	MN
987008	8	MN
994816	14	MN
011228	12	NC
011228	18	NC
011228	9	NC
132476	12	NC
146505	21	NC
155416	20	NC
157075	17	NC
157075	26	NC
157075	31	NC
161437	11	NC
161437	18	NC
189896	14	NC
189896	26	NC
216852	5	NC
223244	11	NC
223244	21	NC
223244	2	NC
223244	6	NC
223244	8	NC
332726	60	NC
412584	10	NC
418793	15	NC
418793	18	NC
418793	21	NC
421109	9	NC
493610	19	NC
509659	13	NC
510127	18	NC
537715	49	NC
564264	20	NC
605985	3	NC
627915	15	NC
648807	21	NC
683764	23	NC
752735	48	NC
774387	16	NC
774387	24	NC
777598	25	NC
791621	55	NC
841279	23	NC
841279	29	NC
912823	26	NC
931085	9	NC
968242	64	NC
986700	44	NC
